Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADH1110043,22e3b120-0deb-4d47-a20d-04fdf8304287,Unknown,N/A,,,,5/29/2022,N/A,,Possible Injury,N/A,Walking/Riding With Traffic,N/A,N/A,F,N/A,Pedestrian,1,Unknown
ADH1110043,35e615e0-07c8-4196-8fd3-a2074631d76d,Unknown,N/A,,,,5/20/2000,N/A,,Suspected Serious Injury,Other,Walking/Riding With Traffic,N/A,N/A,F,N/A,Other,1,N/A
ADH660003Y,918b59e6-6c8a-4e8b-a141-0c84b041e720,N/A,N/A,,,Apparently Normal,12/28/1971,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Other,N/A,Helmet,F,None Detected,Bicyclist,1,Light Clothing
ADG34500MY,697f201c-1c8b-4305-84de-0dfc43ea9206,N/A,N/A,,,Apparently Normal,5/29/1955,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,Reflective Clothing,M,None Detected,Pedestrian,1,Reflective Material
ADJ789007Z,fe923caf-45a4-4a62-8295-2f38da9bc82d,No Improper Actions,N/A,,,,3/8/1982,N/A,,Possible Injury,In Bikeway,Walking/Riding With Traffic,N/A,None,F,None Detected,Bicyclist,1,Dark Clothing
ADH737003R,fab2f804-81e9-4a95-8bef-b0e5e47bf927,In Roadway Improperly,N/A,,,Unknown,11/25/2011,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Disobeyed Pedestrian Signal,None,M,Unknown,Bicyclist,1,Unknown
ADK840000X,48e6bacd-d0d4-47ab-a323-f7e4c22528f9,Failure to Obey Traffic Signs Signals or Officer,N/A,,,,2/14/1997,N/A,,No Apparent Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,F,Alcohol Contributed,Pedestrian,1,N/A
ADK840000X,640a77b2-e2f7-462b-aeee-68a3d71ca709,Failure to Obey Traffic Signs Signals or Officer,N/A,,,,9/30/2000,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,F,Alcohol Contributed,Pedestrian,1,N/A
ADK616002K,d55939eb-01cf-4fae-9dc9-5f60670a018f,Unknown,N/A,,,Apparently Normal,9/18/1997,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,N/A,None,F,None Detected,Pedestrian,1,N/A
ADJ5650060,a54af051-04c9-4141-8247-dddab86eeec0,No Improper Actions,N/A,,,Had Been Drinking,5/9/1999,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,Alcohol Present,Pedestrian,1,Mixed Clothing
ADK8430014,d935d62f-2eba-4c30-9daa-5588f97ef2fe,Unknown,N/A,,,Apparently Normal,1/23/1963,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Unknown,Unknown,None,M,N/A,Pedestrian,1,Light Clothing
ADK5710028,b0b609f7-669d-4502-8326-3548a5ab20e7,No Improper Actions,N/A,,,Apparently Normal,5/11/1992,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,Helmet,M,None Detected,Bicyclist,,Mixed Clothing
ADJ938001H,b18b00bc-97d2-45a9-8310-e1240338fc77,No Improper Actions,N/A,,,Apparently Normal,11/24/1966,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Light Clothing
ADK671001W,d8a96afe-daaa-4dee-89cc-f85686da9522,Inattentive,N/A,,,,9/29/1999,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Other Pedalcyclist,,Light Clothing
ADH55200F1,6348ce1f-47b1-4d22-af5d-2f381070c9e2,Dart Dash,N/A,,,,8/9/2020,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,N/A
ADH55200F1,d9acdb5e-daef-424f-b7aa-ae7c7059d229,N/A,N/A,,,,10/8/1988,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,N/A
ADK1740023,ece6db05-73ce-4b49-baec-56a0f4aac8aa,Unknown,N/A,,,Physical Defects,7/24/1993,N/A,,Suspected Minor Injury,Curb,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADK890000L,aa774f64-9bd6-43e6-82f5-036127d27837,No Improper Actions,N/A,,,N/A,7/30/1994,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADK890000L,d5e5dfe9-73b9-46a3-b16c-a03d9f3b2ac3,No Improper Actions,N/A,,,N/A,1/28/1970,N/A,,Possible Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADK2530029,d21106fc-455b-44b2-b8c6-6a164092e001,Inattentive,N/A,,,,9/12/1976,N/A,,Possible Injury,At Intersection Marked Crosswalk,Other,Unknown,Helmet,M,N/A,Bicyclist,,Mixed Clothing
ADI9560024,0a9a5d1a-a106-47b3-887f-cc866dba2c90,Dart Dash,N/A,,,,10/16/2007,N/A,,Possible Injury,At Intersection But No Crosswalk,Other,N/A,N/A,M,None Detected,Pedestrian,,Light Clothing
ADK2690047,2827e9fa-210b-4269-92db-109ca0683dc6,Unknown,N/A,,,Apparently Normal,10/28/1984,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Walking/Riding on Sidewalk,No Pedestrian Signal,None,M,N/A,Other Pedalcyclist,,Mixed Clothing
ADK693000J,dd087d23-7e98-4ebe-8bb7-877145bbcc2c,Unknown,N/A,,,Apparently Normal,11/21/1961,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,None,M,N/A,Pedestrian,1,Light Clothing
ADH737003W,f5989dc0-3674-4c72-922b-3299eb92fef4,No Improper Actions,N/A,,,Apparently Normal,1/15/1974,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,N/A,Helmet,M,None Detected,Bicyclist,1,Light Clothing
ADH660003Z,25b984da-0f7a-46dd-ae65-6053cdf48aab,No Improper Actions,N/A,,,Apparently Normal,5/28/1978,N/A,,Suspected Minor Injury,In Bikeway,N/A,N/A,Helmet,M,None Detected,Bicyclist,1,Light Clothing
MTA0475000C,d4e6ca53-40a7-4b25-be53-08ec8ef95a60,No Improper Actions,N/A,,,Emotional Depressed Angry Disturbed,6/6/1964,N/A,,Suspected Minor Injury,Curb,Getting Off/On Vehicle,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Mixed Clothing
ADI140007J,ebbb1988-a2a3-47b5-abe1-16090f273ec7,No Improper Actions,N/A,,,Apparently Normal,1/27/1964,N/A,,Possible Injury,Sidewalk,Other,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADK205001Y,751d497d-95df-4d2d-aca9-19e0d4cf1081,Failure to Yield Right of Way,N/A,,,,2/9/1955,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Light Clothing
ADK911000C,b1b726bb-49d8-420b-85ed-8d1516843127,No Improper Actions,N/A,,,,5/11/1962,N/A,,Suspected Minor Injury,Curb,Other,N/A,None,M,N/A,Pedestrian,1,Light Clothing
ADJ8680044,d64cd569-dae2-4bd6-a2c1-1b2f6f7df5e6,No Improper Actions,N/A,,,Apparently Normal,10/31/1950,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADK2250021,210c15ca-d972-460a-8608-a01a3f8aef2d,Unknown,N/A,,,Apparently Normal,5/15/2002,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,None Detected,Other,1,Dark Clothing
ADK633000N,d5272ed0-ecb0-44ea-8408-65d004de3610,No Improper Actions,N/A,,,,2/15/1974,N/A,,Suspected Serious Injury,Shoulder,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Bicyclist,,Dark Clothing
ADJ22300CC,93c54408-1e64-4740-9530-c5baaba0c6b4,N/A,N/A,,,Apparently Normal,1/30/1962,N/A,,Possible Injury,Curb,Walking/Riding on Sidewalk,N/A,Unknown,M,N/A,Bicyclist,1,Mixed Clothing
ADF8800059,ff19cc30-d466-4e00-b9b0-ea8140936e58,Failure to Yield Right of Way,N/A,,,Apparently Normal,3/3/2006,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Light Clothing
ADI703007K,3cd8f98c-a34f-4200-972a-7780d7dcaa65,No Improper Actions,N/A,,,Apparently Normal,5/7/1996,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADI289005Y,426ce111-9e15-4cce-a97f-33bc99cc60aa,Improper Passing,N/A,,,,2/14/1986,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Light Clothing
ADJ622009V,29c5d804-4360-4e68-bb50-74909369526b,Other,N/A,,,Apparently Normal,12/18/1990,N/A,,Possible Injury,Outside Right of Way,Getting Off/On Vehicle,N/A,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADG4450090,e777bb81-4485-4241-9530-cf8539a9eff3,Failure to Yield Right of Way,N/A,,,Unknown,11/21/1961,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,Unknown,Pedestrian,1,Dark Clothing
ADH567005L,1e42014b-419c-49c0-90f8-5b96913dd64d,No Improper Actions,N/A,,,Apparently Normal,10/29/1993,N/A,,Suspected Minor Injury,In Bikeway,Walking/Riding With Traffic,N/A,None,M,None Detected,Bicyclist,1,Dark Clothing
ADH991007R,2a37181c-1b9b-4596-ab7a-46d0bbd2b2a5,In Roadway Improperly,N/A,,,Unknown,8/7/1976,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,Unknown,Pedestrian,1,Light Clothing
ADG874001T,087f61a7-983a-45f6-a1a6-4af91d338b7c,Unknown,N/A,,,Apparently Normal,4/8/1992,N/A,,Suspected Minor Injury,Curb,Standing,Unknown,None,F,None Detected,Pedestrian,1,Unknown
ADD9050088,c336afe5-9d19-4506-990d-040b3032acc0,No Improper Actions,N/A,,,Apparently Normal,4/22/1993,N/A,,Suspected Serious Injury,Other,Other Working,No Pedestrian Signal,Other,F,None Detected,Pedestrian,1,Dark Clothing
ADJ8350027,72a3004f-8134-4469-aacd-85c69356843b,Unknown,N/A,Blood,,Had Been Drinking,8/30/1958,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,Unknown,Pedestrian,1,Mixed Clothing
ADI770006Y,7a1de68a-943d-41f6-a1ab-91f5e2ccf33f,No Improper Actions,N/A,,,,9/30/2002,N/A,,Possible Injury,Sidewalk,Standing,N/A,N/A,F,N/A,Pedestrian,,Dark Clothing
MTA02880009,8a1d1e81-18de-4ced-bad9-24031fffbc8c,In Roadway Improperly,N/A,,,Apparently Normal,11/6/2006,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Mixed Clothing
ADJ983001J,3b9925f6-ba71-4607-a876-85e5114f330d,Unknown,N/A,,,Apparently Normal,6/10/1996,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADJ834001W,19c12634-1400-4748-a0b3-c4a20dc79c8e,N/A,N/A,,,Apparently Normal,10/12/1975,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADK412000D,ed3cff5f-7fbc-40a2-8acc-61a01cd7abe1,Failure to Obey Traffic Signs Signals or Officer,N/A,,,,6/5/1978,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,Unknown,F,N/A,Bicyclist,1,Light Clothing
ADG9020017,68b8bf94-bc1c-4c3e-9485-3829e100c96b,Failure to Yield Right of Way,N/A,,,Apparently Normal,4/26/1997,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,Unknown,None,M,None Detected,Bicyclist,,Dark Clothing
ADK108000H,d5a95b13-61fe-4e32-b1fa-4490021afe50,Not Visible,N/A,,,Apparently Normal,12/27/1959,N/A,,Suspected Minor Injury,Shoulder,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Mixed Clothing
ADK326000J,0b444337-2326-41bb-b622-40097cfe40a9,No Improper Actions,N/A,,,,1/28/1976,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ9990012,4b1b2520-a61c-49f7-a304-15bff0cad97a,Other,N/A,,,Apparently Normal,4/6/1998,N/A,,Suspected Serious Injury,N/A,Walking/Riding With Traffic,No Pedestrian Signal,Unknown,M,Illegal Drug Present,Machine Operator/Rider,,Mixed Clothing
ADI776002Z,45c69533-b852-4560-b458-16c06aeba4fa,Dart Dash,N/A,,,,12/21/1954,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,None,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADF067000D,731a860f-6ab4-41c2-bf89-cb1a1c16c3c1,No Improper Actions,N/A,,,Apparently Normal,8/31/1970,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,No Pedestrian Signal,None,F,N/A,Pedestrian,1,N/A
ADK008000X,99c3d916-6333-4df2-a2ca-e9be8df138a8,No Improper Actions,N/A,,,Apparently Normal,8/18/2001,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding Against Traffic,Obeyed Pedestrian Signal,None,M,None Detected,Bicyclist,1,Mixed Clothing
ADJ817001W,2ebd6e9d-2499-473f-9f82-faa752f4b7fb,No Improper Actions,N/A,,,Apparently Normal,5/7/1955,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,N/A,Pedestrian,,Dark Clothing
ADJ431002H,a355753b-8208-4b89-b965-1a56e2502cee,No Improper Actions,N/A,,,,11/20/1967,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,M,None Detected,Pedestrian,,N/A
ADJ431002H,dad650a7-17bc-4df9-8b66-93537dbcb248,No Improper Actions,N/A,,,,1/30/1969,N/A,,Suspected Serious Injury,Sidewalk,N/A,N/A,N/A,F,None Detected,Pedestrian,,N/A
ADJ431002H,ebfd8c97-d4be-4009-b7bc-74a5e8ed312a,No Improper Actions,N/A,,,,4/13/1962,N/A,,Suspected Minor Injury,Sidewalk,N/A,N/A,N/A,M,None Detected,Pedestrian,,N/A
ADJ7150030,eb89e39b-35f0-49da-9033-6e0a7eb9bf97,No Improper Actions,N/A,,,N/A,6/17/1961,N/A,,Suspected Minor Injury,Curb,Getting Off/On Vehicle,N/A,N/A,F,N/A,Pedestrian,1,N/A
ADJ784003L,3d790bc7-f8f6-48fe-98b1-78226c846217,Dart Dash,N/A,,,Unknown,7/9/2009,N/A,,Possible Injury,Driveway Access Marked Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,,Other
ADH913001W,0bda32c9-6377-4b89-83d7-db17e0f9f946,Unknown,N/A,,,N/A,9/29/2012,N/A,,Suspected Serious Injury,N/A,Unknown,No Pedestrian Signal,Unknown,M,N/A,Pedestrian,1,Mixed Clothing
ADJ965000R,b263631f-3a1c-492e-a224-d327c630c03f,Unknown,N/A,,,Apparently Normal,4/11/1964,N/A,,Suspected Minor Injury,Median,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,,Mixed Clothing
ADJ7600020,1f5f2d00-7efd-45b9-8c94-a5be2e848e34,No Improper Actions,N/A,,,Apparently Normal,6/4/1944,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ1230025,ec00e114-6ec1-43b2-a27b-abfca16dee6d,In Roadway Improperly,N/A,,,Apparently Normal,6/5/1962,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,Unknown,Pedestrian,1,Dark Clothing
ADJ887002F,a137b7cb-c3c9-481b-820d-9cce8da1cd79,In Roadway Improperly,N/A,,,Apparently Normal,7/7/2002,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADG438002K,bfc79b3c-e695-429b-8cf6-0b4ff0caf3dd,In Roadway Improperly,N/A,,,Apparently Normal,12/18/2001,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Mixed Clothing
ADK1690011,c4523fbf-d127-4827-9846-f3873774b927,In Roadway Improperly,N/A,,,,12/14/1964,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Mixed Clothing
ADJ662004T,1265caef-7bf7-49f8-aa2e-26df19636681,Dart Dash,N/A,,,,6/15/1998,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADI776002M,b828b982-e259-4337-ae44-685378071855,Inattentive,N/A,,,Apparently Normal,3/27/1945,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ892002N,c7d55f65-3702-4a34-96f9-06633318311d,Dart Dash,N/A,,,Using Drugs,7/20/1969,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,Illegal Drug Present,Pedestrian,1,Mixed Clothing
ADJ784003B,92e50e6c-c776-4576-8ffe-f966a06e89f7,Unknown,N/A,,,Unknown,5/11/1995,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ999000H,df35b6ed-7b45-4e6b-a0dd-06c66feb7390,In Roadway Improperly,N/A,,,Other,11/10/1996,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,Unknown,Pedestrian,,Mixed Clothing
ADI2930007,b7d86cd4-dd61-44be-ab88-47d9d4044e49,Unknown,N/A,,,Apparently Normal,5/16/1975,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Light Clothing
ADI765003H,a37d0cf4-c903-47a7-8fc9-2d499702d0e3,Unknown,N/A,,,Apparently Normal,8/15/1985,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Mixed Clothing
ADJ213007N,b501fbbb-0041-4079-ba9d-20f322f8ffca,Inattentive,N/A,,,Apparently Normal,2/26/1990,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Dark Clothing
ADJ006004L,4ef85f6b-880d-4950-9db3-90b672f23a0e,No Improper Actions,N/A,,,Apparently Normal,4/26/1991,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,N/A,None,M,None Detected,Pedestrian,2,Dark Clothing
ADK4240001,1e43b0f6-3fed-4c2b-b89e-20f66f587659,No Improper Actions,N/A,,,,8/14/2002,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Light Clothing
ADI243003X,907127f1-b221-47ff-b2d3-aad70ee81071,No Improper Actions,N/A,,,Apparently Normal,2/5/1996,N/A,,Suspected Serious Injury,Shoulder,Other,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADI926003D,981c01d5-e3bc-4c45-bd1e-4d3661ba11f1,Unknown,N/A,,,Apparently Normal,12/1/2006,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Walking/Riding on Sidewalk,Unknown,None,F,N/A,Pedestrian,1,N/A
ADK072000G,04e2a0ab-d15d-427f-af1b-4f3e1742f537,N/A,N/A,,,Apparently Normal,2/27/1941,N/A,,Suspected Minor Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADF4210036,55ca5af9-eb09-4398-9401-e64d8b8333e9,Unknown,N/A,,,,8/23/1939,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,None Detected,Other,,N/A
HS9782000P,dc17f071-a21e-4306-9cbc-4b2c96b449e2,No Improper Actions,N/A,,,Apparently Normal,11/12/1998,N/A,,Suspected Minor Injury,N/A,Walking/Riding With Traffic,N/A,Helmet,M,N/A,Bicyclist,1,Dark Clothing
ADJ965000N,aa386b91-e295-4ef4-86b6-36d5e1c45f01,Inattentive,N/A,,,Apparently Normal,9/13/2000,N/A,,Possible Injury,Sidewalk,Walking/Riding Against Traffic,N/A,N/A,F,N/A,Pedestrian,,Dark Clothing
ADI3880076,f4de0506-29d9-449d-bed5-3fbb5fba005f,In Roadway Improperly,N/A,,,Apparently Normal,1/2/1961,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Light Clothing
ADK1910007,fd5f574a-af1a-4c0b-acab-64eba99ed397,No Improper Actions,N/A,,,Apparently Normal,8/14/2012,N/A,,Possible Injury,Curb,Playing,Other,None,F,N/A,Pedestrian,1,N/A
ADK315000Z,a8eac9ad-af77-4f83-aafd-977029e2d5b5,No Improper Actions,N/A,,,Apparently Normal,3/24/1993,N/A,,No Apparent Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,N/A,Bicyclist,1,Other
ADK315000Z,e62791cd-dbde-4a9a-83db-5839cdffa19a,No Improper Actions,N/A,,,Apparently Normal,10/11/1964,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,Helmet,M,N/A,Bicyclist,1,Light Clothing
ADK315000Z,eb96bf17-b3a1-4e5d-9b01-0ca46ca1e74b,No Improper Actions,N/A,,,Apparently Normal,8/8/1970,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,Helmet,M,N/A,Bicyclist,1,Mixed Clothing
ADJ390005P,c530b1e0-9708-434b-aeab-5bd7a623bf40,No Improper Actions,N/A,,,Apparently Normal,12/14/1956,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Unknown
ADJ5650046,5633bb9d-8db6-429a-985b-cfc95f923238,Wrong Way Riding or Walking,N/A,,,Apparently Normal,8/4/1999,N/A,,Suspected Minor Injury,Sidewalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Dark Clothing
ADH5670055,7f07a2bc-315a-47f0-8370-e6ddfd917030,Not Visible,N/A,,,Apparently Normal,4/30/1996,N/A,,Possible Injury,On Roadway At Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,None Detected,Bicyclist,1,Mixed Clothing
ADH7270061,87096c0d-d166-4374-bddb-eebfe42fdfbe,No Improper Actions,N/A,,,Apparently Normal,8/28/2009,N/A,,Suspected Serious Injury,Other,Standing,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADH7270061,d57762a2-b8fd-4513-95bb-043724d4e042,No Improper Actions,N/A,,,Apparently Normal,11/27/1984,N/A,,Suspected Serious Injury,Other,Standing,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ868000M,62a87641-b2f1-4b1c-b6f2-a6c9a66f7973,Other,N/A,,,Apparently Normal,1/29/1986,N/A,,Suspected Minor Injury,Shoulder,Other,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADI7260007,f1fca9b6-10a4-4eb5-8270-f1879a087ab2,In Roadway Improperly,N/A,,,Apparently Normal,2/4/1962,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ831000S,ee5830be-0543-47c0-acc7-d0051d4c2296,Unknown,N/A,,,Apparently Normal,2/24/1993,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,None Detected,Pedestrian,1,Light Clothing
ADF421003D,7870edc9-dbef-4f53-b198-f63e2d2cf3e3,Failure to Yield Right of Way,N/A,,,Had Been Drinking,3/7/1976,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,M,Alcohol Present,Bicyclist,,Mixed Clothing
ADK299000N,32066f64-c03c-4b73-84d8-e5d148de0369,Unknown,N/A,,,Apparently Normal,4/12/1964,N/A,,Suspected Minor Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,,N/A
ADK077000C,92b97379-4ff6-4afd-ac5b-eb03c00cabe4,Unknown,N/A,,,N/A,6/6/1968,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,Unknown,N/A,F,N/A,Pedestrian,,N/A
ADJ565003G,229e2b14-d08f-4fc5-93cd-6c437fae31a5,Dart Dash,N/A,,,Apparently Normal,1/17/2011,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking To/From School,Other,None,M,None Detected,Pedestrian,1,Light Clothing
MTA0343000N,a24fd357-1680-4a07-bc9f-41ead4f3759a,Unknown,N/A,,,Apparently Normal,6/1/1984,N/A,,Possible Injury,Driveway Access Marked Crosswalk,Other Working,N/A,None,F,N/A,Pedestrian,,Dark Clothing
